date,rainfall_sapporo,sunlight_sapporo,snowfall_sapporo,avewind_sapporo,rainfall_tokyo,sunlight_tokyo,snowfall_tokyo,avewind_tokyo
2019年5月19日,--,13.4,--,6,0,7,--,3.9
2019年5月20日,0,11,--,8.3,0,5.5,--,4.3
2019年5月21日,1.5,0,--,5.8,82,0,--,4.6
2019年5月22日,--,11.3,--,4.5,--,11.1,--,2.6
2019年5月23日,--,9.6,--,3.9,--,12.2,--,3
2019年5月24日,0,12,--,2.5,--,13.1,--,2.7
2019年5月25日,--,13.4,--,4.2,--,13.4,--,2.7
2019年5月26日,--,12.7,--,2.5,--,12.6,--,2.3
2019年5月27日,--,13.3,--,2.4,--,12.6,--,3
2019年5月28日,0,2.9,--,5.2,1,1.2,--,5.8
2019年5月29日,1,4.6,--,2.2,7.5,2.9,--,3.4
2019年5月30日,--,10,--,2.6,0,12.2,--,3.6
2019年5月31日,0,2.8,--,5.6,0,0.7,--,3.8
2019年6月1日,2.5,10.9,--,4.5,--,3.8,--,2.8
2019年6月2日,0,9.9,--,2.2,--,0.3,--,2.3
2019年6月3日,--,13.7,--,3.8,0,5.6,--,2.9
2019年6月4日,1,0.7,--,2,--,7.9,--,3.1
2019年6月5日,6.5,0.5,--,2.3,--,2.4,--,2.9
2019年6月6日,--,8.5,--,2.1,--,11,--,2.7
2019年6月7日,0,1.8,--,2.6,19.5,0,--,2.1
2019年6月8日,--,13,--,3.1,0,1.7,--,2.2
2019年6月9日,--,9.4,--,2.6,10,0,--,2.7
2019年6月10日,--,13.7,--,3.5,92.5,0,--,2.9
2019年6月11日,--,11.7,--,3.8,1,1.9,--,2.8
2019年6月12日,0,5.6,--,3.4,0.5,0.3,--,2.1
2019年6月13日,0,0.3,--,2.4,--,13.6,--,3.2
2019年6月14日,--,11.2,--,6.1,0,8.5,--,3.7
2019年6月15日,2.5,2.8,--,6.8,51,0,--,2.6
2019年6月16日,12.5,0,--,4.2,5,9.9,--,3.6
2019年6月17日,1,2.1,--,7.7,--,11.6,--,4.2
2019年6月18日,0.5,3.4,--,2.4,--,7.6,--,3.5
2019年6月19日,2,8.7,--,2.4,--,9.7,--,3
2019年6月20日,10.5,8,--,2.1,0,4.5,--,2.7
2019年6月21日,0.5,0,--,4.9,0,5.1,--,4
2019年6月22日,30,0,--,5.5,6,0.5,--,3
2019年6月23日,1.5,5.4,--,3.5,0,0,--,2.2
2019年6月24日,--,13.2,--,2,25.5,0.8,--,2.5
2019年6月25日,--,11.3,--,2,--,7.5,--,2.6
2019年6月26日,--,10.9,--,2.2,--,11.8,--,3.7
2019年6月27日,--,7.9,--,2.7,2,2.6,--,4.4
2019年6月28日,0,0.1,--,1.9,3.5,0.9,--,3
2019年6月29日,0,0,--,5.2,3,0,--,1.9
2019年6月30日,0,8.4,--,6.1,5.5,0,--,1.6
2019年7月1日,0,3.1,--,6.9,1.5,0,--,1.6
2019年7月2日,4.5,4.1,--,3.2,0.5,0.7,--,1.6
2019年7月3日,0.5,0,--,1.9,1,1.8,--,2.1
2019年7月4日,0,2.1,--,3.7,10.5,0.1,--,3.7
2019年7月5日,0,1.6,--,2,4.5,0.4,--,2.2
2019年7月6日,--,12.8,--,3.5,14.5,0,--,3
2019年7月7日,--,14.1,--,4,22.5,0,--,3.2
