x,color,date
338,blue,2021/1/30
214,red,2021/1/31
178,black,2021/2/1
211,black,2021/2/2
244,black,2021/2/3
207,black,2021/2/4
209,black,2021/2/5
188,blue,2021/2/6
117,red,2021/2/7
119,black,2021/2/8
155,black,2021/2/9
127,black,2021/2/10
141,black,2021/2/11
89,black,2021/2/12
142,blue,2021/2/13
98,red,2021/2/14
69,black,2021/2/15
98,black,2021/2/16
133,black,2021/2/17
89,black,2021/2/18
91,black,2021/2/19
94,blue,2021/2/20
60,red,2021/2/21
62,black,2021/2/22
100,black,2021/2/23
62,black,2021/2/24
82,black,2021/2/25
77,black,2021/2/26
69,blue,2021/2/27
54,red,2021/2/28
56,black,2021/3/1
81,black,2021/3/2
98,black,2021/3/3
81,black,2021/3/4
74,black,2021/3/5
82,blue,2021/3/6
76,red,2021/3/7
38,black,2021/3/8
103,black,2021/3/9
84,black,2021/3/10
88,black,2021/3/11
111,black,2021/3/12
120,blue,2021/3/13
92,red,2021/3/14
67,black,2021/3/15
86,black,2021/3/16
147,black,2021/3/17
141,black,2021/3/18
158,black,2021/3/19
153,blue,2021/3/20
100,red,2021/3/21
79,black,2021/3/22
183,black,2021/3/23
262,black,2021/3/24
266,black,2021/3/25
300,black,2021/3/26
386,blue,2021/3/27
323,red,2021/3/28
213,black,2021/3/29
432,black,2021/3/30
600,black,2021/3/31
616,black,2021/4/1
613,black,2021/4/2
666,blue,2021/4/3
593,red,2021/4/4
341,black,2021/4/5
731,black,2021/4/6
879,black,2021/4/7
957,black,2021/4/8
927,black,2021/4/9
991,blue,2021/4/10
827,red,2021/4/11
602,black,2021/4/12
1099,black,2021/4/13
1130,black,2021/4/14
1208,black,2021/4/15
1207,black,2021/4/16
1161,blue,2021/4/17
1219,red,2021/4/18
719,black,2021/4/19
1153,black,2021/4/20
1242,black,2021/4/21
1167,black,2021/4/22
1161,black,2021/4/23
1097,blue,2021/4/24
1050,red,2021/4/25
922,black,2021/4/26
1230,black,2021/4/27
1260,black,2021/4/28
1171,black,2021/4/29
1042,black,2021/4/30
1260,blue,2021/5/1
1057,red,2021/5/2
845,black,2021/5/3
884,black,2021/5/4
668,black,2021/5/5
747,black,2021/5/6
1005,black,2021/5/7
1020,blue,2021/5/8
873,red,2021/5/9
668,black,2021/5/10
974,black,2021/5/11
849,black,2021/5/12
761,black,2021/5/13
576,black,2021/5/14
785,blue,2021/5/15
620,red,2021/5/16
382,black,2021/5/17
509,black,2021/5/18
